time_s,pred_ttc,gt_ttc
0.025,4.7171220779418945,11.657636642456055
0.05,4.7895188331604,11.657636642456055
0.075,4.7171220779418945,11.657636642456055
0.1,4.7171220779418945,11.657636642456055
0.125,4.7171220779418945,11.657636642456055
0.15,4.7171220779418945,11.657636642456055
0.175,4.7171220779418945,11.657636642456055
0.2,4.7171220779418945,11.657636642456055
0.225,4.7171220779418945,11.657636642456055
0.25,4.7171220779418945,11.657636642456055
0.275,4.741238594055176,11.657636642456055
0.3,4.7171220779418945,11.657636642456055
0.325,4.729703903198242,11.657636642456055
0.35,4.7171220779418945,11.657636642456055
0.375,4.7171220779418945,11.657636642456055
0.4,4.759069919586182,11.657636642456055
0.425,4.7171220779418945,11.657636642456055
0.45,4.7171220779418945,11.657636642456055
0.475,4.7171220779418945,11.657636642456055
0.5,4.852930068969727,11.657636642456055
0.525,4.7171220779418945,11.657636642456055
0.55,4.765793323516846,11.657636642456055
0.575,4.7171220779418945,11.657636642456055
0.6,4.7171220779418945,11.657636642456055
0.625,4.759069919586182,11.657636642456055
0.65,4.7171220779418945,11.657636642456055
0.675,4.852930068969727,11.657636642456055
0.7,4.723441123962402,11.657636642456055
0.725,4.7171220779418945,11.657636642456055
0.75,4.759069919586182,11.657636642456055
0.775,4.833584785461426,11.657636642456055
0.8,4.7171220779418945,11.657636642456055
0.825,4.7171220779418945,11.657636642456055
0.85,4.7171220779418945,11.657636642456055
0.875,4.7171220779418945,11.657636642456055
0.9,4.759069919586182,11.657636642456055
0.925,4.7171220779418945,11.657636642456055
0.95,4.765793323516846,11.657636642456055
0.975,4.7171220779418945,11.657636642456055
1.0,4.7171220779418945,11.657636642456055
1.025,4.833584785461426,11.657636642456055
1.05,4.7171220779418945,11.657636642456055
1.075,4.759069919586182,11.657636642456055
1.1,4.80222749710083,11.657636642456055
1.125,4.759069919586182,11.657636642456055
1.15,4.729703903198242,11.657636642456055
1.175,4.7171220779418945,11.657636642456055
1.2,4.759069919586182,11.657636642456055
1.225,4.7171220779418945,11.657636642456055
1.25,4.759069919586182,11.657636642456055
1.275,4.7171220779418945,11.657636642456055
1.3,4.852930068969727,11.657636642456055
1.325,4.7171220779418945,11.657636642456055
1.35,4.7171220779418945,11.657636642456055
1.375,4.7171220779418945,11.657636642456055
1.4,4.759069919586182,11.657636642456055
1.425,4.7171220779418945,11.657636642456055
1.45,4.729703903198242,11.657636642456055
1.475,4.852930068969727,11.657636642456055
1.5,4.723441123962402,11.657636642456055
1.525,4.729703903198242,11.657636642456055
1.55,4.7171220779418945,11.657636642456055
1.575,4.7171220779418945,11.657636642456055
1.6,4.723441123962402,11.657636642456055
1.625,4.759069919586182,11.657636642456055
1.65,4.7171220779418945,11.657636642456055
1.675,4.741238594055176,11.657636642456055
1.7,4.7171220779418945,11.657636642456055
1.725,4.7171220779418945,11.657636642456055
1.75,4.7171220779418945,11.657636642456055
1.775,4.7171220779418945,11.657636642456055
1.8,4.7171220779418945,11.657636642456055
1.825,4.7171220779418945,11.657636642456055
1.85,4.7171220779418945,11.657636642456055
1.875,4.7171220779418945,11.657636642456055
1.9,4.7171220779418945,11.657636642456055
1.925,4.7171220779418945,11.657636642456055
1.95,4.7171220779418945,11.657636642456055
1.975,4.7171220779418945,11.657636642456055
2.0,4.7171220779418945,11.657636642456055
2.025,4.7171220779418945,11.657636642456055
2.05,4.7171220779418945,11.657636642456055
2.075,4.7171220779418945,11.657636642456055
2.1,4.7171220779418945,11.657636642456055
2.125,4.7171220779418945,11.657636642456055
2.15,4.723441123962402,11.657636642456055
2.175,4.729703903198242,11.657636642456055
2.2,4.795679569244385,11.657636642456055
2.225,4.783185958862305,11.657636642456055
2.25,4.7171220779418945,11.657636642456055
2.275,4.747488975524902,11.657636642456055
2.3,4.759069919586182,11.657636642456055
2.325,4.747488975524902,11.657636642456055
2.35,4.7171220779418945,11.657636642456055
2.375,4.7171220779418945,11.657636642456055
2.4,4.759069919586182,11.657636642456055
2.425,4.729703903198242,11.657636642456055
2.45,4.759069919586182,11.657636642456055
2.475,4.7171220779418945,11.657636642456055
2.5,4.7171220779418945,11.657636642456055
2.525,4.7171220779418945,11.657636642456055
2.55,4.7171220779418945,11.657636642456055
2.575,4.7171220779418945,11.657636642456055
2.6,4.7171220779418945,11.657636642456055
